LAT,LONG,ALT
-12.38943945,136.7963385,0.002028015
-12.38943945,136.7963385,0.002028015
-12.38943945,136.7963385,0.002028015
-12.38943951,136.7963384,0.002065274
-12.38943974,136.7963382,0.002201164
-12.3894402,136.7963377,0.002471952
-12.38944095,136.7963369,0.002913982
-12.38944204,136.7963358,0.003552813
-12.38944346,136.7963344,0.004389729
-12.38944522,136.7963326,0.005422716
-12.3894473,136.7963304,0.006649746
-12.38944971,136.7963279,0.008068993
-12.38945245,136.7963251,0.009679102
-12.389453,136.7963246,0.01
-12.389453,136.7963246,0.01
-12.38945613,136.7963214,0.011834027
-12.38945963,136.7963178,0.013854461
-12.38946348,136.7963138,0.016060192
-12.38946769,136.7963095,0.018450356
-12.38947224,136.7963049,0.021024099
-12.38947715,136.7962998,0.023780553
-12.38948241,136.7962945,0.026718563
-12.38948801,136.7962887,0.02983658
-12.38949395,136.7962827,0.033133017
-12.38950024,136.7962762,0.036606282
-12.38950686,136.7962695,0.040255292
-12.38951383,136.7962624,0.044079659
-12.38952114,136.796255,0.048079027
-12.38952878,136.7962472,0.052253019
-12.38953677,136.7962391,0.056601289
-12.38954511,136.7962306,0.061123536
-12.38955379,136.7962218,0.065819442
-12.38956283,136.7962126,0.070688664
-12.38957222,136.7962031,0.075730868
-12.38958196,136.7961933,0.080945745
-12.38959207,136.7961831,0.086332969
-12.38960255,136.7961725,0.091892201
-12.38961339,136.7961616,0.097623123
-12.38962461,136.7961503,0.103525457
-12.38963621,136.7961387,0.109598933
-12.38964818,136.7961266,0.115843289
-12.38966054,136.7961142,0.122258279
-12.38967329,136.7961014,0.128843681
-12.38968642,136.7960882,0.135599302
-12.38969994,136.7960747,0.14252498
-12.38971384,136.7960607,0.149620621
-12.38972813,136.7960464,0.156886217
-12.38974281,136.7960317,0.164321785
-12.38975787,136.7960165,0.171927357
-12.38977331,136.7960011,0.179702972
-12.38978913,136.7959852,0.187648663
-12.38980533,136.7959689,0.195764444
-12.38982192,136.7959523,0.204050307
-12.38983888,136.7959353,0.212506208
-12.38985623,136.7959179,0.221132065
-12.38987396,136.7959001,0.229927757
-12.38989207,136.795882,0.238893129
-12.38991058,136.7958634,0.248027998
-12.38992947,136.7958445,0.257332166
-12.38994876,136.7958252,0.266805433
-12.38996845,136.7958055,0.276447613
-12.38998853,136.7957854,0.286258544
-12.39000902,136.7957649,0.296238096
-12.3900299,136.795744,0.306386173
-12.39005118,136.7957227,0.316702709
-12.39007286,136.795701,0.32718767
-12.39009493,136.7956789,0.337841041
-12.3901174,136.7956565,0.3486628
-12.39014027,136.7956336,0.3596529
-12.39016353,136.7956103,0.37081126
-12.39018719,136.7955866,0.382137765
-12.39021125,136.7955626,0.393632268
-12.39023571,136.7955381,0.405294602
-12.39026057,136.7955133,0.417124625
-12.39028584,136.795488,0.429122241
-12.39031151,136.7954623,0.441287382
-12.39033759,136.7954363,0.453620003
-12.39036408,136.7954098,0.466120086
-12.39039097,136.7953829,0.478787624
-12.39041826,136.7953556,0.491622609
-12.39044596,136.795328,0.504624984
-12.39047407,136.7952999,0.517794608
-12.39050258,136.7952714,0.531131307
-12.3905315,136.7952425,0.544634882
-12.39056083,136.7952132,0.558305116
-12.39059056,136.7951835,0.572141794
-12.39062071,136.7951533,0.586144707
-12.39065127,136.7951228,0.600313659
-12.39068223,136.7950919,0.614648464
-12.39071361,136.7950605,0.629148897
-12.39074539,136.7950288,0.643814562
-12.39077759,136.7949966,0.65864499
-12.39081019,136.7949641,0.67363968
-12.39084319,136.7949311,0.688798102
-12.39087661,136.7948977,0.704119705
-12.39091043,136.7948639,0.719603927
-12.39094466,136.7948298,0.735250195
-12.39097929,136.7947952,0.751057933
-12.39101433,136.7947602,0.767026564
-12.39104977,136.7947248,0.78315552
-12.39108562,136.794689,0.799444328
-12.39112187,136.7946528,0.815892618
-12.39115852,136.7946162,0.832500013
-12.39119558,136.7945792,0.849266128
-12.39123304,136.7945418,0.866190575
-12.3912709,136.794504,0.88327297
-12.39130916,136.7944658,0.900512937
-12.39134783,136.7944272,0.917910092
-12.39138689,136.7943882,0.935464051
-12.39142636,136.7943488,0.953174532
-12.39146623,136.794309,0.971041303
-12.3915065,136.7942688,0.989064132
-12.39154718,136.7942281,1.007242789
-12.39158825,136.7941871,1.025577042
-12.39162973,136.7941457,1.044066664
-12.3916716,136.7941039,1.062711419
-12.39171388,136.7940617,1.081511072
-12.39175657,136.7940191,1.100465383
-12.39179965,136.7939761,1.119574111
-12.39184313,136.7939327,1.138837016
-12.39188702,136.7938889,1.15825386
-12.39193131,136.7938447,1.177824404
-12.391976,136.7938,1.197548406
-12.39202109,136.793755,1.217425626
-12.39206658,136.7937096,1.237455819
-12.39211247,136.7936638,1.257638743
-12.39215876,136.7936176,1.277974159
-12.39220546,136.793571,1.298461826
-12.39225255,136.793524,1.319101507
-12.39230005,136.7934765,1.339892961
-12.39234795,136.7934287,1.360835948
-12.39239625,136.7933805,1.381930226
-12.39244495,136.7933319,1.403175552
-12.39249405,136.7932829,1.424571683
-12.39254355,136.7932335,1.446118377
-12.39259345,136.7931837,1.467815392
-12.39264375,136.7931335,1.489662483
-12.39269445,136.7930828,1.511659407
-12.39274555,136.7930318,1.533805921
-12.39279705,136.7929804,1.556101782
-12.39284895,136.7929286,1.578546745
-12.39290125,136.7928764,1.601140567
-12.39295395,136.7928238,1.623883005
-12.39300704,136.7927708,1.646773814
-12.39306054,136.7927174,1.669812752
-12.39311444,136.7926636,1.692999579
-12.39316873,136.7926094,1.716334058
-12.39321589,136.7925623,1.73658272
-12.39321589,136.7925623,1.73658272
-12.39327093,136.7925074,1.760191622
-12.39332637,136.792452,1.78394765
-12.3933822,136.7923963,1.807850724
-12.39343844,136.7923402,1.831900766
-12.39349507,136.7922836,1.856097701
-12.3935521,136.7922267,1.880441458
-12.39360954,136.7921694,1.904931969
-12.39366737,136.7921116,1.92956917
-12.3937256,136.7920535,1.954353003
-12.39378424,136.791995,1.979283414
-12.39384327,136.791936,2.004360354
-12.39390271,136.7918767,2.029583776
-12.39396255,136.791817,2.054953639
-12.39402279,136.7917568,2.080469905
-12.39408343,136.7916963,2.106132542
-12.39414447,136.7916353,2.131941522
-12.39420592,136.791574,2.157896822
-12.39426777,136.7915122,2.183998424
-12.39433002,136.7914501,2.210246315
-12.39439267,136.7913875,2.236640489
-12.39445573,136.7913246,2.263180941
-12.3945192,136.7912612,2.289867675
-12.39458307,136.7911975,2.316700698
-12.39464734,136.7911333,2.343680023
-12.39471202,136.7910687,2.370805667
-12.3947771,136.7910037,2.398077655
-12.39484259,136.7909383,2.425496014
-12.39490849,136.7908725,2.453060778
-12.3949748,136.7908063,2.480771988
-12.39504151,136.7907397,2.508629688
-12.39510863,136.7906727,2.536633928
-12.39517616,136.7906053,2.564784767
-12.3952441,136.7905375,2.593082265
-12.39531245,136.7904692,2.621526492
-12.3953812,136.7904006,2.650117521
-12.39545037,136.7903315,2.678855432
-12.39551995,136.790262,2.707740313
-12.39558994,136.7901921,2.736772253
-12.39566035,136.7901218,2.765951352
-12.39573116,136.7900511,2.795277709
-12.39580239,136.78998,2.824751436
-12.39587404,136.7899085,2.854372647
-12.3959461,136.7898365,2.884141464
-12.39601857,136.7897641,2.914058016
-12.39609146,136.7896913,2.944122439
-12.39616477,136.7896181,2.974334874
-12.39623849,136.7895445,3.004695471
-12.39631263,136.7894705,3.035204386
-12.39638719,136.789396,3.065861782
-12.39646217,136.7893211,3.096667813
-12.39653757,136.7892458,3.127622586
-12.39661339,136.7891701,3.158726201
-12.39668963,136.789094,3.189978765
-12.3967663,136.7890174,3.22138039
-12.39684338,136.7889404,3.252931194
-12.39692089,136.788863,3.284631302
-12.39699882,136.7887852,3.316480845
-12.39707718,136.7887069,3.348479959
-12.39715596,136.7886282,3.380628784
-12.39723517,136.7885491,3.412927467
-12.3973148,136.7884696,3.445376161
-12.39739486,136.7883896,3.477975026
-12.39747535,136.7883092,3.510724228
-12.39755627,136.7882284,3.54362394
-12.39763761,136.7881472,3.576674343
-12.39771939,136.7880655,3.609875622
-12.39780159,136.7879834,3.643227972
-12.39788423,136.7879008,3.676731593
-12.3979673,136.7878178,3.710386693
-12.3980508,136.7877344,3.744193487
-12.39813474,136.7876506,3.778152198
-12.39821911,136.7875663,3.812263054
-12.39830392,136.7874816,3.846526292
-12.39838916,136.7873964,3.880942158
-12.39847484,136.7873108,3.915510903
-12.39856096,136.7872248,3.950232787
-12.39864752,136.7871383,3.985108078
-12.39873452,136.7870514,4.020137049
-12.39882196,136.7869641,4.05531998
-12.39890984,136.7868763,4.090657158
-12.39899817,136.786788,4.126148878
-12.39908694,136.7866993,4.161795445
-12.39917616,136.7866102,4.197597169
-12.39926582,136.7865206,4.233554371
-12.39935593,136.7864306,4.26966738
-12.39944649,136.7863401,4.305936533
-12.3995375,136.7862492,4.342362175
-12.39962896,136.7861578,4.378944662
-12.39972087,136.786066,4.415684356
-12.39981324,136.7859737,4.452581631
-12.39990606,136.7858809,4.489636868
-12.39999934,136.7857877,4.526850458
-12.40009307,136.7856941,4.5642228
-12.40018727,136.7855999,4.601754305
-12.40028192,136.7855054,4.639445391
-12.40037703,136.7854103,4.677296487
-12.40047261,136.7853148,4.715308032
-12.40056865,136.7852188,4.75348047
-12.40066516,136.7851224,4.791814251
-12.40076213,136.7850255,4.830309833
-12.40085958,136.7849281,4.868967685
-12.40095749,136.7848303,4.907788285
-12.40105587,136.7847319,4.946772122
-12.40115473,136.7846331,4.985919698
-12.40125406,136.7845339,5.025231521
-12.40135387,136.7844341,5.064708114
-12.40145415,136.7843339,5.10435001
-12.40155492,136.7842332,5.144157751
-12.40165616,136.784132,5.184131892
-12.40175789,136.7840303,5.224273
-12.40186011,136.7839282,5.264581653
-12.4019628,136.7838255,5.30505844
-12.40206599,136.7837224,5.345703962
-12.40216967,136.7836187,5.386518832
-12.40227384,136.7835146,5.427503677
-12.4023785,136.78341,5.468659134
-12.40248366,136.7833049,5.509985854
-12.40258931,136.7831993,5.551484497
-12.40269547,136.7830932,5.593155735
-12.40280213,136.7829865,5.635000251
-12.40290929,136.7828794,5.677018742
-12.40301695,136.7827718,5.719211918
-12.40312513,136.7826637,5.761580503
-12.40323381,136.782555,5.804125233
-12.40334301,136.7824458,5.84684686
-12.40345272,136.7823362,5.88974615
-12.40356294,136.782226,5.932823881
-12.40367369,136.7821153,5.976080849
-12.40378495,136.782004,6.019517863
-12.40389675,136.7818922,6.063135745
-12.40400906,136.78178,6.106935336
-12.40412191,136.7816671,6.15091749
-12.40423528,136.7815538,6.195083003
-12.40434919,136.7814399,6.239432559
-12.40446363,136.7813255,6.283966837
-12.40457861,136.7812105,6.32868653
-12.40469413,136.781095,6.373592344
-12.40481019,136.7809789,6.418684996
-12.4049268,136.7808624,6.463965213
-12.40504394,136.7807452,6.509433736
-12.40516164,136.7806275,6.555091318
-12.40527989,136.7805093,6.600938728
-12.40539869,136.7803905,6.646976746
-12.40551804,136.7802711,6.693206168
-12.40563795,136.7801512,6.739627802
-12.40575842,136.7800308,6.786242472
-12.40587945,136.7799097,6.833051017
-12.40600104,136.7797881,6.880054288
-12.4061232,136.779666,6.927253153
-12.40624593,136.7795432,6.974648495
-12.40636923,136.7794199,7.022241213
-12.40649311,136.779296,7.070032219
-12.40661756,136.7791716,7.118022444
-12.40674259,136.7790465,7.166212832
-12.4068682,136.7789209,7.214604345
-12.4069944,136.7787946,7.263197961
-12.40712119,136.7786678,7.311994614
-12.40724855,136.7785405,7.360987696
-12.40737642,136.7784126,7.410155842
-12.40750475,136.7782842,7.459475879
-12.40763348,136.7781554,7.508924522
-12.40776254,136.7780263,7.558478364
-12.40789187,136.777897,7.608113876
-12.40802141,136.7777674,7.657807402
-12.40815111,136.7776377,7.707535151
-12.40828089,136.7775078,7.757273201
-12.4084107,136.777378,7.806997491
-12.40854047,136.7772482,7.856683818
-12.40867013,136.7771184,7.906307835
-12.40879963,136.7769889,7.955845048
-12.4089289,136.7768596,8.005270813
-12.40905788,136.7767305,8.054561186
-12.40907733,136.7767111,8.061993737
-12.40907733,136.7767111,8.061993737
-12.40920592,136.7765824,8.111109447
-12.40933416,136.7764541,8.160066654
-12.40946205,136.7763261,8.208866624
-12.40958959,136.7761985,8.257510612
-12.40971678,136.7760713,8.305999857
-12.40984363,136.7759443,8.354335587
-12.40997015,136.7758177,8.402519014
-12.41009632,136.7756915,8.450551339
-12.41022217,136.7755655,8.49843375
-12.41034769,136.7754399,8.54616742
-12.41047288,136.7753146,8.593753512
-12.41059774,136.7751897,8.641193175
-12.41072229,136.775065,8.688487546
-12.41084652,136.7749407,8.73563775
-12.41097043,136.7748167,8.782644897
-12.41109403,136.774693,8.829510089
-12.41121732,136.7745696,8.876234412
-12.41134031,136.7744465,8.922818945
-12.41146299,136.7743237,8.969264752
-12.41158537,136.7742012,9.015572885
-12.41170745,136.774079,9.061744388
-12.41182923,136.7739571,9.10778029
-12.41195072,136.7738355,9.153681612
-12.41207192,136.7737142,9.199449361
-12.41219283,136.7735931,9.245084537
-12.41231345,136.7734724,9.290588124
-12.41243379,136.7733519,9.335961101
-12.41255385,136.7732317,9.381204433
-12.41267362,136.7731118,9.426319076
-12.41279313,136.7729921,9.471305974
-12.41291235,136.7728728,9.516166064
-12.41303131,136.7727537,9.56090027
-12.41315,136.7726348,9.605509508
-12.41326842,136.7725162,9.649994683
-12.41338657,136.7723979,9.694356691
-12.41350446,136.7722799,9.738596419
-12.41362209,136.7721621,9.782714743
-12.41373946,136.7720446,9.826712532
-12.41385658,136.7719273,9.870590644
-12.41397344,136.7718103,9.914349928
-12.41409005,136.7716935,9.957991224
-12.41420641,136.7715769,10.00151536
-12.41432252,136.7714607,10.04492317
-12.41443839,136.7713446,10.08821546
-12.41455401,136.7712288,10.13139303
-12.41466939,136.7711133,10.17445669
-12.41478453,136.7709979,10.21740722
-12.41489943,136.7708828,10.26024541
-12.4150141,136.770768,10.30297202
-12.41512853,136.7706534,10.34558781
-12.41524274,136.770539,10.38809356
-12.41535671,136.7704248,10.43048999
-12.41547045,136.7703109,10.47277787
-12.41558397,136.7701972,10.51495791
-12.41569726,136.7700837,10.55703084
-12.41581033,136.7699704,10.59899738
-12.41592318,136.7698573,10.64085825
-12.41603581,136.7697445,10.68261413
-12.41614822,136.7696319,10.72426574
-12.41626042,136.7695195,10.76581376
-12.4163724,136.7694073,10.80725887
-12.41648417,136.7692953,10.84860174
-12.41659573,136.7691835,10.88984305
-12.41670708,136.7690719,10.93098345
-12.41681823,136.7689606,10.9720236
-12.41692917,136.7688494,11.01296414
-12.4170399,136.7687384,11.05380572
-12.41715043,136.7686277,11.09454902
-12.41726077,136.7685171,11.13519465
-12.4173709,136.7684067,11.17574324
-12.41748084,136.7682966,11.21619538
-12.41759058,136.7681866,11.25655169
-12.41770012,136.7680768,11.29681276
-12.41780947,136.7679672,11.33697918
-12.41791864,136.7678578,11.37705154
-12.41802761,136.7677486,11.4170304
-12.41813639,136.7676396,11.45691636
-12.41824499,136.7675307,11.49670997
-12.4183534,136.7674221,11.5364118
-12.41846162,136.7673136,11.5760224
-12.41856967,136.7672053,11.61554234
-12.41867753,136.7670972,11.65497214
-12.41878521,136.7669892,11.69431237
-12.41889272,136.7668814,11.73356355
-12.41900004,136.7667739,11.77272622
-12.41910719,136.7666664,11.81180089
-12.41921417,136.7665592,11.8507881
-12.41932097,136.7664521,11.88968836
-12.4194276,136.7663452,11.92850218
-12.41953406,136.7662385,11.96723006
